epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108611421,2024-01-24T17:03:31.421,1.610,0.657,0.746,0.108,-0.000
1706108611431,2024-01-24T17:03:31.431,1.620,0.657,0.746,0.108,-0.000
1706108611441,2024-01-24T17:03:31.441,1.630,0.657,0.746,0.108,-0.000
1706108611451,2024-01-24T17:03:31.451,1.640,0.657,0.746,0.108,-0.000
1706108611461,2024-01-24T17:03:31.461,1.650,0.657,0.746,0.108,-0.000
1706108611471,2024-01-24T17:03:31.471,1.660,0.657,0.746,0.108,-0.000
1706108611481,2024-01-24T17:03:31.481,1.670,0.657,0.746,0.108,-0.000
1706108611491,2024-01-24T17:03:31.491,1.680,0.657,0.746,0.108,-0.000
1706108611501,2024-01-24T17:03:31.501,1.690,0.657,0.746,0.108,-0.000
1706108611511,2024-01-24T17:03:31.511,1.700,0.657,0.746,0.108,-0.000
1706108611521,2024-01-24T17:03:31.521,1.710,0.657,0.746,0.108,-0.000
1706108611531,2024-01-24T17:03:31.531,1.720,0.657,0.746,0.108,-0.000
1706108611541,2024-01-24T17:03:31.541,1.730,0.657,0.746,0.108,-0.000
1706108611551,2024-01-24T17:03:31.551,1.740,0.657,0.746,0.108,-0.000
1706108611561,2024-01-24T17:03:31.561,1.750,0.657,0.746,0.108,-0.000
1706108611571,2024-01-24T17:03:31.571,1.760,0.657,0.746,0.108,-0.000
1706108611581,2024-01-24T17:03:31.581,1.770,0.657,0.746,0.108,-0.000
1706108611591,2024-01-24T17:03:31.591,1.780,0.657,0.746,0.108,-0.000
1706108611601,2024-01-24T17:03:31.601,1.790,0.657,0.746,0.108,-0.000
1706108611611,2024-01-24T17:03:31.611,1.800,0.657,0.746,0.108,-0.000
1706108611621,2024-01-24T17:03:31.621,1.810,0.657,0.746,0.108,-0.000
1706108611631,2024-01-24T17:03:31.631,1.820,0.657,0.746,0.108,-0.000
1706108611641,2024-01-24T17:03:31.641,1.830,0.657,0.746,0.108,-0.000
1706108611651,2024-01-24T17:03:31.651,1.840,0.657,0.746,0.108,-0.000
1706108611661,2024-01-24T17:03:31.661,1.850,0.657,0.746,0.108,-0.000
1706108611671,2024-01-24T17:03:31.671,1.860,0.657,0.746,0.108,-0.000
1706108611681,2024-01-24T17:03:31.681,1.870,0.657,0.746,0.108,-0.000
1706108611691,2024-01-24T17:03:31.691,1.880,0.657,0.746,0.108,-0.000
1706108611701,2024-01-24T17:03:31.701,1.890,0.657,0.746,0.108,-0.000
1706108611711,2024-01-24T17:03:31.711,1.900,0.657,0.746,0.108,-0.000
1706108611721,2024-01-24T17:03:31.721,1.910,0.657,0.746,0.108,-0.000
1706108611731,2024-01-24T17:03:31.731,1.920,0.657,0.746,0.108,-0.000
1706108611741,2024-01-24T17:03:31.741,1.930,0.657,0.746,0.108,-0.000
1706108611751,2024-01-24T17:03:31.751,1.940,0.657,0.746,0.108,-0.000
1706108611761,2024-01-24T17:03:31.761,1.950,0.657,0.746,0.108,-0.000
1706108611771,2024-01-24T17:03:31.771,1.960,0.657,0.746,0.108,-0.000
1706108611781,2024-01-24T17:03:31.781,1.970,0.657,0.746,0.108,-0.000
1706108611791,2024-01-24T17:03:31.791,1.980,0.657,0.746,0.108,-0.000
1706108611801,2024-01-24T17:03:31.801,1.990,0.657,0.746,0.108,-0.000
1706108611811,2024-01-24T17:03:31.811,2.000,0.657,0.746,0.108,-0.000
1706108611821,2024-01-24T17:03:31.821,2.010,0.657,0.746,0.108,-0.000
1706108611831,2024-01-24T17:03:31.831,2.020,0.657,0.746,0.108,-0.000
1706108611841,2024-01-24T17:03:31.841,2.030,0.657,0.746,0.108,-0.000
1706108611851,2024-01-24T17:03:31.851,2.040,0.657,0.746,0.108,-0.000
1706108611861,2024-01-24T17:03:31.861,2.050,0.657,0.746,0.108,-0.000
1706108611871,2024-01-24T17:03:31.871,2.060,0.657,0.746,0.108,-0.000
1706108611881,2024-01-24T17:03:31.881,2.070,0.657,0.746,0.108,-0.000
1706108611891,2024-01-24T17:03:31.891,2.080,0.657,0.746,0.108,-0.000
1706108611901,2024-01-24T17:03:31.901,2.090,0.657,0.746,0.108,-0.000
1706108611911,2024-01-24T17:03:31.911,2.100,0.657,0.746,0.108,-0.000
1706108611921,2024-01-24T17:03:31.921,2.110,0.657,0.746,0.108,-0.000
1706108611931,2024-01-24T17:03:31.931,2.120,0.657,0.746,0.108,-0.000
1706108611941,2024-01-24T17:03:31.941,2.130,0.657,0.746,0.108,-0.000
1706108611951,2024-01-24T17:03:31.951,2.140,0.657,0.746,0.108,-0.000
1706108611961,2024-01-24T17:03:31.961,2.150,0.657,0.746,0.108,-0.000
1706108611971,2024-01-24T17:03:31.971,2.160,0.657,0.746,0.108,-0.000
1706108611981,2024-01-24T17:03:31.981,2.170,0.657,0.746,0.108,-0.000
1706108611991,2024-01-24T17:03:31.991,2.180,0.657,0.746,0.108,-0.000
1706108612001,2024-01-24T17:03:32.001,2.190,0.657,0.746,0.108,-0.000
1706108612011,2024-01-24T17:03:32.011,2.200,0.657,0.746,0.108,-0.000
1706108612021,2024-01-24T17:03:32.021,2.210,0.657,0.746,0.108,-0.000
1706108612031,2024-01-24T17:03:32.031,2.220,0.657,0.746,0.108,-0.000
1706108612041,2024-01-24T17:03:32.041,2.230,0.657,0.746,0.108,-0.000
1706108612051,2024-01-24T17:03:32.051,2.240,0.657,0.746,0.108,-0.000
1706108612061,2024-01-24T17:03:32.061,2.250,0.657,0.746,0.108,-0.000
1706108612071,2024-01-24T17:03:32.071,2.260,0.657,0.746,0.108,-0.000
1706108612081,2024-01-24T17:03:32.081,2.270,0.657,0.746,0.108,-0.000
1706108612091,2024-01-24T17:03:32.091,2.280,0.657,0.746,0.108,-0.000
1706108612101,2024-01-24T17:03:32.101,2.290,0.657,0.746,0.108,-0.000
1706108612111,2024-01-24T17:03:32.111,2.300,0.657,0.746,0.108,-0.000
1706108612121,2024-01-24T17:03:32.121,2.310,0.657,0.746,0.108,-0.000
1706108612131,2024-01-24T17:03:32.131,2.320,0.657,0.746,0.108,-0.000
1706108612141,2024-01-24T17:03:32.141,2.330,0.657,0.746,0.108,-0.000
1706108612151,2024-01-24T17:03:32.151,2.340,0.657,0.746,0.108,-0.000
1706108612161,2024-01-24T17:03:32.161,2.350,0.657,0.746,0.108,-0.000
1706108612171,2024-01-24T17:03:32.171,2.360,0.657,0.746,0.108,-0.000
1706108612181,2024-01-24T17:03:32.181,2.370,0.657,0.746,0.108,-0.000
1706108612191,2024-01-24T17:03:32.191,2.380,0.657,0.746,0.108,-0.000
1706108612201,2024-01-24T17:03:32.201,2.390,0.657,0.746,0.108,-0.000
1706108612211,2024-01-24T17:03:32.211,2.400,0.657,0.746,0.108,-0.000
1706108612221,2024-01-24T17:03:32.221,2.410,0.657,0.746,0.108,-0.000
1706108612231,2024-01-24T17:03:32.231,2.420,0.657,0.746,0.108,-0.000
1706108612241,2024-01-24T17:03:32.241,2.430,0.657,0.746,0.108,-0.000
1706108612251,2024-01-24T17:03:32.251,2.440,0.657,0.746,0.108,-0.000
1706108612261,2024-01-24T17:03:32.261,2.450,0.657,0.746,0.108,-0.000
1706108612271,2024-01-24T17:03:32.271,2.460,0.657,0.746,0.108,-0.000
1706108612281,2024-01-24T17:03:32.281,2.470,0.657,0.746,0.108,-0.000
1706108612291,2024-01-24T17:03:32.291,2.480,0.657,0.746,0.108,-0.000
1706108612301,2024-01-24T17:03:32.301,2.490,0.657,0.746,0.108,-0.000
1706108612311,2024-01-24T17:03:32.311,2.500,0.657,0.746,0.108,-0.000
1706108612321,2024-01-24T17:03:32.321,2.510,0.657,0.746,0.108,-0.000
1706108612331,2024-01-24T17:03:32.331,2.520,0.657,0.746,0.108,-0.000
1706108612341,2024-01-24T17:03:32.341,2.530,0.657,0.746,0.108,-0.000
1706108612351,2024-01-24T17:03:32.351,2.540,0.657,0.746,0.108,-0.000
1706108612361,2024-01-24T17:03:32.361,2.550,0.657,0.746,0.108,-0.000
1706108612371,2024-01-24T17:03:32.371,2.560,0.657,0.746,0.108,-0.000
1706108612381,2024-01-24T17:03:32.381,2.570,0.657,0.746,0.108,-0.000
1706108612391,2024-01-24T17:03:32.391,2.580,0.657,0.746,0.108,-0.000
1706108612401,2024-01-24T17:03:32.401,2.590,0.657,0.746,0.108,-0.000
1706108612411,2024-01-24T17:03:32.411,2.600,0.657,0.746,0.108,-0.000
1706108612421,2024-01-24T17:03:32.421,2.610,0.657,0.746,0.108,-0.000
1706108612431,2024-01-24T17:03:32.431,2.620,0.657,0.746,0.108,-0.000
1706108612441,2024-01-24T17:03:32.441,2.630,0.657,0.746,0.108,-0.000
1706108612451,2024-01-24T17:03:32.451,2.640,0.657,0.746,0.108,-0.000
1706108612461,2024-01-24T17:03:32.461,2.650,0.657,0.746,0.108,-0.000
1706108612471,2024-01-24T17:03:32.471,2.660,0.657,0.746,0.108,-0.000
1706108612481,2024-01-24T17:03:32.481,2.670,0.657,0.746,0.108,-0.000
1706108612491,2024-01-24T17:03:32.491,2.680,0.657,0.746,0.108,-0.000
1706108612501,2024-01-24T17:03:32.501,2.690,0.657,0.746,0.108,-0.000
1706108612511,2024-01-24T17:03:32.511,2.700,0.657,0.746,0.108,-0.000
1706108612521,2024-01-24T17:03:32.521,2.710,0.657,0.746,0.108,-0.000
1706108612531,2024-01-24T17:03:32.531,2.720,0.657,0.746,0.108,-0.000
1706108612541,2024-01-24T17:03:32.541,2.730,0.657,0.746,0.108,-0.000
1706108612551,2024-01-24T17:03:32.551,2.740,0.657,0.746,0.108,-0.000
1706108612561,2024-01-24T17:03:32.561,2.750,0.657,0.746,0.108,-0.000
1706108612571,2024-01-24T17:03:32.571,2.760,0.657,0.746,0.108,-0.000
1706108612581,2024-01-24T17:03:32.581,2.770,0.657,0.746,0.108,-0.000
1706108612591,2024-01-24T17:03:32.591,2.780,0.657,0.746,0.108,-0.000
1706108612601,2024-01-24T17:03:32.601,2.790,0.657,0.746,0.108,-0.000
1706108612611,2024-01-24T17:03:32.611,2.800,0.657,0.746,0.108,-0.000
1706108612621,2024-01-24T17:03:32.621,2.810,0.657,0.746,0.108,-0.000
1706108612631,2024-01-24T17:03:32.631,2.820,0.657,0.746,0.108,-0.000
1706108612641,2024-01-24T17:03:32.641,2.830,0.657,0.746,0.108,-0.000
1706108612651,2024-01-24T17:03:32.651,2.840,0.657,0.746,0.108,-0.000
1706108612661,2024-01-24T17:03:32.661,2.850,0.657,0.746,0.108,-0.000
1706108612671,2024-01-24T17:03:32.671,2.860,0.657,0.746,0.108,-0.000
1706108612681,2024-01-24T17:03:32.681,2.870,0.657,0.746,0.108,-0.000
1706108612691,2024-01-24T17:03:32.691,2.880,0.657,0.746,0.108,-0.000
1706108612701,2024-01-24T17:03:32.701,2.890,0.657,0.746,0.108,-0.000
1706108612711,2024-01-24T17:03:32.711,2.900,0.657,0.746,0.108,-0.000
1706108612721,2024-01-24T17:03:32.721,2.910,0.657,0.746,0.108,-0.000
1706108612731,2024-01-24T17:03:32.731,2.920,0.657,0.746,0.108,-0.000
1706108612741,2024-01-24T17:03:32.741,2.930,0.657,0.746,0.108,-0.000
1706108612751,2024-01-24T17:03:32.751,2.940,0.657,0.746,0.108,-0.000
1706108612761,2024-01-24T17:03:32.761,2.950,0.657,0.746,0.108,-0.000
1706108612771,2024-01-24T17:03:32.771,2.960,0.657,0.746,0.108,-0.000
1706108612781,2024-01-24T17:03:32.781,2.970,0.657,0.746,0.108,-0.000
1706108612791,2024-01-24T17:03:32.791,2.980,0.657,0.746,0.108,-0.000
1706108612801,2024-01-24T17:03:32.801,2.990,0.657,0.746,0.108,-0.000
1706108612811,2024-01-24T17:03:32.811,3.000,0.657,0.746,0.108,-0.000
1706108612821,2024-01-24T17:03:32.821,3.010,0.657,0.746,0.108,-0.000
1706108612831,2024-01-24T17:03:32.831,3.020,0.657,0.746,0.108,-0.000
1706108612841,2024-01-24T17:03:32.841,3.030,0.657,0.746,0.108,-0.000
1706108612851,2024-01-24T17:03:32.851,3.040,0.657,0.746,0.108,-0.000
1706108612861,2024-01-24T17:03:32.861,3.050,0.657,0.746,0.108,-0.000
1706108612871,2024-01-24T17:03:32.871,3.060,0.657,0.746,0.108,-0.000
1706108612881,2024-01-24T17:03:32.881,3.070,0.657,0.746,0.108,-0.000
1706108612891,2024-01-24T17:03:32.891,3.080,0.657,0.746,0.108,-0.000
1706108612901,2024-01-24T17:03:32.901,3.090,0.657,0.746,0.108,-0.000
1706108612911,2024-01-24T17:03:32.911,3.100,0.657,0.746,0.108,-0.000
1706108612921,2024-01-24T17:03:32.921,3.110,0.657,0.746,0.108,-0.000
1706108612931,2024-01-24T17:03:32.931,3.120,0.657,0.746,0.108,-0.000
1706108612941,2024-01-24T17:03:32.941,3.130,0.657,0.746,0.108,-0.000
1706108612951,2024-01-24T17:03:32.951,3.140,0.657,0.746,0.108,-0.000
1706108612961,2024-01-24T17:03:32.961,3.150,0.657,0.746,0.108,-0.000
1706108612971,2024-01-24T17:03:32.971,3.160,0.657,0.746,0.108,-0.000
1706108612981,2024-01-24T17:03:32.981,3.170,0.657,0.746,0.108,-0.000
1706108612991,2024-01-24T17:03:32.991,3.180,0.657,0.746,0.108,-0.000
1706108613001,2024-01-24T17:03:33.001,3.190,0.657,0.746,0.108,-0.000
1706108613011,2024-01-24T17:03:33.011,3.200,0.657,0.746,0.108,-0.000
1706108613021,2024-01-24T17:03:33.021,3.210,0.657,0.746,0.108,-0.000
1706108613031,2024-01-24T17:03:33.031,3.220,0.657,0.746,0.108,-0.000
1706108613041,2024-01-24T17:03:33.041,3.230,0.657,0.746,0.108,-0.000
1706108613051,2024-01-24T17:03:33.051,3.240,0.657,0.746,0.108,-0.000
1706108613061,2024-01-24T17:03:33.061,3.250,0.657,0.746,0.108,-0.000
1706108613071,2024-01-24T17:03:33.071,3.260,0.657,0.746,0.108,-0.000
1706108613081,2024-01-24T17:03:33.081,3.270,0.657,0.746,0.108,-0.000
1706108613091,2024-01-24T17:03:33.091,3.280,0.657,0.746,0.108,-0.000
