epoch (ms),time (03:00),elapsed (s),w (number),x (number),y (number), z (number)
1706108611539,2024-01-24T17:03:31.539,1.640,1.000,0.004,0.014,0.000
1706108611549,2024-01-24T17:03:31.549,1.650,1.000,0.004,0.014,0.000
1706108611559,2024-01-24T17:03:31.559,1.660,1.000,0.004,0.014,0.000
1706108611569,2024-01-24T17:03:31.569,1.670,1.000,0.004,0.014,0.000
1706108611579,2024-01-24T17:03:31.579,1.680,1.000,0.004,0.014,0.000
1706108611589,2024-01-24T17:03:31.589,1.690,1.000,0.004,0.014,0.000
1706108611599,2024-01-24T17:03:31.599,1.700,1.000,0.004,0.014,0.000
1706108611609,2024-01-24T17:03:31.609,1.710,1.000,0.004,0.014,0.000
1706108611619,2024-01-24T17:03:31.619,1.720,1.000,0.004,0.014,0.000
1706108611629,2024-01-24T17:03:31.629,1.730,1.000,0.004,0.014,0.000
1706108611639,2024-01-24T17:03:31.639,1.740,1.000,0.004,0.014,0.000
1706108611649,2024-01-24T17:03:31.649,1.750,1.000,0.004,0.014,0.000
1706108611659,2024-01-24T17:03:31.659,1.760,1.000,0.004,0.014,0.000
1706108611669,2024-01-24T17:03:31.669,1.770,1.000,0.004,0.014,0.000
1706108611679,2024-01-24T17:03:31.679,1.780,1.000,0.004,0.014,0.000
1706108611689,2024-01-24T17:03:31.689,1.790,1.000,0.004,0.014,0.000
1706108611699,2024-01-24T17:03:31.699,1.800,1.000,0.004,0.014,0.000
1706108611709,2024-01-24T17:03:31.709,1.810,1.000,0.004,0.014,0.000
1706108611719,2024-01-24T17:03:31.719,1.820,1.000,0.004,0.014,0.000
1706108611729,2024-01-24T17:03:31.729,1.830,1.000,0.004,0.014,0.000
1706108611739,2024-01-24T17:03:31.739,1.840,1.000,0.004,0.014,0.000
1706108611749,2024-01-24T17:03:31.749,1.850,1.000,0.004,0.014,0.000
1706108611759,2024-01-24T17:03:31.759,1.860,1.000,0.004,0.014,0.000
1706108611769,2024-01-24T17:03:31.769,1.870,1.000,0.004,0.014,0.000
1706108611779,2024-01-24T17:03:31.779,1.880,1.000,0.004,0.014,0.000
1706108611789,2024-01-24T17:03:31.789,1.890,1.000,0.004,0.014,0.000
1706108611799,2024-01-24T17:03:31.799,1.900,1.000,0.004,0.014,0.000
1706108611809,2024-01-24T17:03:31.809,1.910,1.000,0.004,0.014,0.000
1706108611819,2024-01-24T17:03:31.819,1.920,1.000,0.004,0.014,0.000
1706108611829,2024-01-24T17:03:31.829,1.930,1.000,0.004,0.014,0.000
1706108611839,2024-01-24T17:03:31.839,1.940,1.000,0.004,0.014,0.000
1706108611849,2024-01-24T17:03:31.849,1.950,1.000,0.004,0.014,0.000
1706108611859,2024-01-24T17:03:31.859,1.960,1.000,0.004,0.014,0.000
1706108611869,2024-01-24T17:03:31.869,1.970,1.000,0.004,0.014,0.000
1706108611879,2024-01-24T17:03:31.879,1.980,1.000,0.004,0.014,0.000
1706108611889,2024-01-24T17:03:31.889,1.990,1.000,0.004,0.014,0.000
1706108611899,2024-01-24T17:03:31.899,2.000,1.000,0.004,0.014,0.000
1706108611909,2024-01-24T17:03:31.909,2.010,1.000,0.004,0.014,0.000
1706108611919,2024-01-24T17:03:31.919,2.020,1.000,0.004,0.014,0.000
1706108611929,2024-01-24T17:03:31.929,2.030,1.000,0.004,0.014,0.000
1706108611939,2024-01-24T17:03:31.939,2.040,1.000,0.004,0.014,0.000
1706108611949,2024-01-24T17:03:31.949,2.050,1.000,0.004,0.014,0.000
1706108611959,2024-01-24T17:03:31.959,2.060,1.000,0.004,0.014,0.000
1706108611969,2024-01-24T17:03:31.969,2.070,1.000,0.004,0.014,0.000
1706108611979,2024-01-24T17:03:31.979,2.080,1.000,0.004,0.014,0.000
1706108611989,2024-01-24T17:03:31.989,2.090,1.000,0.004,0.014,0.000
1706108611999,2024-01-24T17:03:31.999,2.100,1.000,0.004,0.014,0.000
1706108612009,2024-01-24T17:03:32.009,2.110,1.000,0.004,0.014,0.000
1706108612019,2024-01-24T17:03:32.019,2.120,1.000,0.004,0.014,0.000
1706108612029,2024-01-24T17:03:32.029,2.130,1.000,0.004,0.014,0.000
1706108612039,2024-01-24T17:03:32.039,2.140,1.000,0.004,0.014,0.000
1706108612049,2024-01-24T17:03:32.049,2.150,1.000,0.004,0.014,0.000
1706108612059,2024-01-24T17:03:32.059,2.160,1.000,0.004,0.014,0.000
1706108612069,2024-01-24T17:03:32.069,2.170,1.000,0.004,0.014,0.000
1706108612079,2024-01-24T17:03:32.079,2.180,1.000,0.004,0.014,0.000
1706108612089,2024-01-24T17:03:32.089,2.190,1.000,0.004,0.014,0.000
1706108612099,2024-01-24T17:03:32.099,2.200,1.000,0.004,0.014,0.000
1706108612109,2024-01-24T17:03:32.109,2.210,1.000,0.004,0.014,0.000
1706108612119,2024-01-24T17:03:32.119,2.220,1.000,0.004,0.014,0.000
1706108612129,2024-01-24T17:03:32.129,2.230,1.000,0.004,0.014,0.000
1706108612139,2024-01-24T17:03:32.139,2.240,1.000,0.004,0.014,0.000
1706108612149,2024-01-24T17:03:32.149,2.250,1.000,0.004,0.014,0.000
1706108612159,2024-01-24T17:03:32.159,2.260,1.000,0.004,0.014,0.000
1706108612169,2024-01-24T17:03:32.169,2.270,1.000,0.004,0.014,0.000
1706108612179,2024-01-24T17:03:32.179,2.280,1.000,0.004,0.014,0.000
1706108612189,2024-01-24T17:03:32.189,2.290,1.000,0.004,0.014,0.000
1706108612199,2024-01-24T17:03:32.199,2.300,1.000,0.004,0.014,0.000
1706108612209,2024-01-24T17:03:32.209,2.310,1.000,0.004,0.014,0.000
1706108612219,2024-01-24T17:03:32.219,2.320,1.000,0.004,0.014,0.000
1706108612229,2024-01-24T17:03:32.229,2.330,1.000,0.004,0.014,0.000
1706108612239,2024-01-24T17:03:32.239,2.340,1.000,0.004,0.014,0.000
1706108612249,2024-01-24T17:03:32.249,2.350,1.000,0.004,0.014,0.000
1706108612259,2024-01-24T17:03:32.259,2.360,1.000,0.004,0.014,0.000
1706108612269,2024-01-24T17:03:32.269,2.370,1.000,0.004,0.014,0.000
1706108612279,2024-01-24T17:03:32.279,2.380,1.000,0.004,0.014,0.000
1706108612289,2024-01-24T17:03:32.289,2.390,1.000,0.004,0.014,0.000
