Device,MAC,Timestamp,Time(03:00),elapsed (s),X(number),Y(number),Z (number)
4,E25AD03D0194,1721221266903,2024-07-17T16:01:06.903,3.5,-0.020907773,0.021036832,0.011439528
4,E25AD03D0194,1721221266913,2024-07-17T16:01:06.913,3.51,-0.022349179,0.017247636,0.007995707
4,E25AD03D0194,1721221266933,2024-07-17T16:01:06.933,3.53,-0.02131913,0.0175183,0.010369925
4,E25AD03D0194,1721221266943,2024-07-17T16:01:06.943,3.54,-0.021290831,0.018640114,0.01130653
4,E25AD03D0194,1721221266953,2024-07-17T16:01:06.953,3.55,-0.022730194,0.018281404,0.012250538
4,E25AD03D0194,1721221266963,2024-07-17T16:01:06.963,3.56,-0.022699561,0.01793982,0.012227003
4,E25AD03D0194,1721221266973,2024-07-17T16:01:06.973,3.57,-0.021697424,0.017563643,0.008320843
4,E25AD03D0194,1721221266983,2024-07-17T16:01:06.983,3.58,-0.022185704,0.0160988,0.008809123
4,E25AD03D0194,1721221266993,2024-07-17T16:01:06.993,3.59,-0.022162074,0.016690211,0.010762222
4,E25AD03D0194,1721221267023,2024-07-17T16:01:07.023,3.62,-0.021601247,0.014127759,0.0096920235
4,E25AD03D0194,1721221267033,2024-07-17T16:01:07.033,3.63,-0.02355437,0.017568456,0.010626052
4,E25AD03D0194,1721221267043,2024-07-17T16:01:07.043,3.64,-0.021601344,0.017098896,0.014009117
4,E25AD03D0194,1721221267063,2024-07-17T16:01:07.063,3.66,-0.021112965,0.01906697,0.008121704
4,E25AD03D0194,1721221267253,2024-07-17T16:01:07.253,3.85,-0.01957509,0.01722522,0.007593369
4,E25AD03D0194,1721221267283,2024-07-17T16:01:07.283,3.88,-0.019985767,0.019593032,0.01135406
4,E25AD03D0194,1721221267293,2024-07-17T16:01:07.293,3.89,-0.021422116,0.01778116,0.0079029575
4,E25AD03D0194,1721221267303,2024-07-17T16:01:07.303,3.9,-0.020903395,0.014514246,0.008844351
4,E25AD03D0194,1721221267313,2024-07-17T16:01:07.313,3.91,-0.021853993,0.017091213,0.011729472
4,E25AD03D0194,1721221267323,2024-07-17T16:01:07.323,3.92,-0.022318546,0.01917122,0.011684264
4,E25AD03D0194,1721221267343,2024-07-17T16:01:07.343,3.94,-0.019341597,0.013577848,0.008150222
4,E25AD03D0194,1721221267353,2024-07-17T16:01:07.353,3.95,-0.01881335,0.016664756,0.011109859
4,E25AD03D0194,1721221267373,2024-07-17T16:01:07.373,3.97,-0.019700248,0.018474901,0.012167573
4,E25AD03D0194,1721221267383,2024-07-17T16:01:07.383,3.98,-0.019654639,0.016695026,0.008794038
4,E25AD03D0194,1721221267393,2024-07-17T16:01:07.393,3.99,-0.020096727,0.021268634,0.007855026
4,E25AD03D0194,1721221267403,2024-07-17T16:01:07.403,4,-0.021999573,0.020002421,0.008866402
4,E25AD03D0194,1721221267413,2024-07-17T16:01:07.413,4.01,-0.019499917,0.017295627,0.009896219
4,E25AD03D0194,1721221267433,2024-07-17T16:01:07.433,4.03,-0.020364061,0.020650381,0.012936863
4,E25AD03D0194,1721221267443,2024-07-17T16:01:07.443,4.04,-0.019326622,0.020383973,0.008616901
